% Model:              hollow_cuboid_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 12:33
% Table:              Table 4 - 
% THP (K)                Temperature
323.15                   318.8555738728189
373.15                   361.76144297627314
423.15                   403.9309485883453
473.15                   445.56867338083686
523.15                   487.00405301621663
573.15                   528.5839536397912
623.15                   570.3373831055691
673.15                   612.1967916049118
723.15                   654.2481074948274
773.15                   696.5838957600415
