% Model:              hollow_cuboid_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 12:34
% Table:              Table 5 - 
% THP (K)                Electric potential
323.15                   -6.753077358590973E-5
373.15                   -2.0158073979617504E-4
423.15                   -3.796646663615825E-4
473.15                   -5.979885162796014E-4
523.15                   -8.523884966038531E-4
573.15                   -0.001135349871167446
623.15                   -0.0014386320431976386
673.15                   -0.0017524433785961393
723.15                   -0.002061656727344035
773.15                   -0.002348869945622489
