% Model:              hollow_honeycomb_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 13:09
% Table:              Table 4 - 
% THP (K)                Temperature
323.15                   314.9341341394437
373.15                   351.46749066670816
423.15                   386.87816762957226
473.15                   421.43998229114277
523.15                   455.56165951371213
573.15                   489.7457571513993
623.15                   524.1805119153997
673.15                   558.8221649055712
723.15                   593.6922309387088
773.15                   628.8868280624949
