% Model:              hollow_honeycomb_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 13:08
% Table:              Table 3 - 
% THP (K)                Electric potential
323.15                   -1.285636079208204E-4
373.15                   -3.7854426049498574E-4
423.15                   -7.027625256604039E-4
473.15                   -0.0010946652367064078
523.15                   -0.001549026617428908
573.15                   -0.002057084113088325
623.15                   -0.002606763173928161
673.15                   -0.0031831161937573562
723.15                   -0.003766139070772364
773.15                   -0.004331056274618048
