% Model:              hollow_mesh_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 13:30
% Table:              Table 4 - 
% THP (K)                Temperature
323.15                   315.2913060295884
373.15                   352.40380024755865
423.15                   388.41344057707926
473.15                   423.59330438144735
523.15                   458.3500367117635
573.15                   493.1831276275629
623.15                   528.2672876192245
673.15                   563.551590203349
723.15                   599.0601308593829
773.15                   634.8960070162855
