% Model:              hollow_mesh_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 13:30
% Table:              Table 3 - 
% THP (K)                Electric potential
323.15                   -1.2303827617052366E-4
373.15                   -3.626788323494613E-4
423.15                   -6.742631145682313E-4
473.15                   -0.0010514281664665908
523.15                   -0.0014890250736190969
573.15                   -0.001978209493998944
623.15                   -0.0025070619847760334
673.15                   -0.0030609896554153887
723.15                   -0.0036203204144646976
773.15                   -0.004160594363015155
