% Model:              thermo_rect_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 12:55
% Table:              Table 8 - 
% THP (K)                Temperature
323.15                   320.5772103854992
373.15                   366.308452418993
423.15                   411.5595153008428
473.15                   456.46953921990627
523.15                   501.2781834992812
573.15                   546.2014469399078
623.15                   591.2297063282526
673.15                   636.3278426323171
723.15                   681.5771645167869
773.15                   727.0220390596606
