% Model:              thermo_rect_phys.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 11 2024, 12:54
% Table:              Table 7 - 
% THP (K)                Electric potential
323.15                   -4.057205361128814E-5
373.15                   -1.2190980598993014E-4
423.15                   -2.3105050376730652E-4
473.15                   -3.65694657975404E-4
523.15                   -5.226924630542852E-4
573.15                   -6.966782688895967E-4
623.15                   -8.823035900165406E-4
673.15                   -0.0010727522909325963
723.15                   -0.0012572871655784957
773.15                   -0.0014247321847359934
