THP,Max_Power,Seebeck_Coefficient
323.15,5.613046776457998e-06,-1.5540077272210447e-05
373.15,4.390758370267189e-05,-1.635489573561415e-05
423.15,0.00013038778505092976,-1.7401054612627488e-05
473.15,0.0002780670209733685,-1.8459125947562103e-05
523.15,0.0005021188631946392,-1.9509171794400885e-05
573.15,0.000821920667602036,-2.055403350091485e-05
623.15,0.0012550062308674605,-2.1574381980076974e-05
673.15,0.0018090349828897797,-2.254012660436318e-05
723.15,0.002482206986096096,-2.3422592993802642e-05
773.15,0.0032653657529388177,-2.4195188612811883e-05
