THP,I,P
323.15,0.0,0.0
323.15,0.006185034805290599,2.5146421929274907
323.15,0.012370069610581198,4.287623758599291
323.15,0.018555104415871798,5.318944697015403
323.15,0.024740139221162395,5.608605008175825
323.15,0.030925174026452992,5.156604692080557
323.15,0.037110208831743596,3.9629437487295993
323.15,0.04329524363703419,2.027622178122951
323.15,0.04948027844232479,-0.6493600197393837
323.15,0.05566531324761539,-4.068002844857411
323.15,0.061850348052905985,-8.228306297231121
323.15,0.06803538285819659,-13.130270376860533
323.15,0.07422041766348719,-18.773895083745636
323.15,0.08040545246877778,-25.159180417886414
323.15,0.08659048727406839,-32.2861263792829
323.15,0.09277552207935898,-40.154732967935054
323.15,0.09896055688464958,-48.7650001838429
323.15,0.10514559168994018,-58.11692802700645
323.15,0.11133062649523078,-68.21051649742567
323.15,0.11751566130052138,-79.04576559510062
323.15,0.12370069610581197,-90.6226753200312
323.15,0.1298857309111026,-102.94124567221755
323.15,0.13607076571639318,-116.00147665165952
323.15,0.14225580052168377,-129.80336825835718
323.15,0.14844083532697439,-144.3469204923106
323.15,0.15462587013226498,-159.63213335351963
323.15,0.16081090493755557,-175.65900684198436
323.15,0.16699593974284616,-192.42754095770476
323.15,0.17318097454813677,-209.937735700681
323.15,0.17936600935342736,-228.1895910709128
323.15,0.18555104415871795,-247.18310706840032
323.15,0.19173607896400857,-266.9182836931435
323.15,0.19792111376929916,-287.39512094514237
323.15,0.20410614857458975,-308.61361882439695
323.15,0.21029118337988037,-330.57377733090726
323.15,0.21647621818517096,-353.27559646467313
323.15,0.22266125299046155,-376.7190762256948
323.15,0.22884628779575217,-400.90421661397227
323.15,0.23503132260104276,-425.8310176295052
323.15,0.24121635740633335,-451.4994792722938
323.15,0.24740139221162394,-477.9096015423382
323.15,0.25358642701691453,-505.06138443963823
323.15,0.2597714618222052,-532.9548279641942
323.15,0.26595649662749576,-561.5899321160057
323.15,0.27214153143278635,-590.9666968950728
323.15,0.27832656623807694,-621.0851223013956
323.15,0.28451160104336753,-651.9452083349742
323.15,0.2906966358486581,-683.5469549958083
323.15,0.29688167065394877,-715.8903622838985
