THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,29.998658387623323,29.998638961945517,29.998605529950396,29.998560368376047,29.998499830728576,
373.15,79.9963511662711,79.99633074179923,79.99629745861569,79.99624955943085,79.99618801582722,
423.15,129.99412016905086,129.99409850307592,129.994063431847,129.9940143702541,129.9939530441069,
473.15,179.99199056401125,179.99196776830286,179.99193156826772,179.9918812370812,179.99181712893017,
523.15,229.98993619432542,229.9899121120892,229.98987435182124,229.98982306137452,229.98975749251406,
573.15,279.9879200811096,279.9878947049845,279.9878555984294,279.98780292503125,279.98773584482944,
623.15,329.98591868319755,329.9858919600034,329.9858514682643,329.985796888083,329.98572879713754,
673.15,379.9839242327701,379.98389627023323,379.9838541824869,379.98379827871554,379.98372874665483,
723.15,429.981926763911,429.98189749610435,429.98185402396183,429.98179675207143,429.98172525333007,
773.15,479.9799169279718,479.97988645205703,479.97984172593806,479.9797831238288,479.9797102472374,
