THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,29.999105018367914,29.99908393390382,29.999046284096778,29.998989943782306,29.99891611086167,
373.15,79.99756443571857,79.99754249985301,79.99750349103056,79.99744623084382,79.99737136053915,
423.15,129.99607394273357,129.99605112103745,129.99601044683664,129.99595307137116,129.99587704587628,
473.15,179.99465194585508,179.99462789582594,179.9945863411378,179.99452679152307,179.99445065956712,
523.15,229.9932809546616,229.99325580537533,229.99321309247694,229.99315224512344,229.99307352501876,
573.15,279.99193633194517,279.99190995128066,279.9918660753467,279.9918038769595,279.99172371352853,
623.15,329.99060316016255,329.99057555040133,329.99053011296235,329.990466908063,329.9903853418313,
673.15,379.98927530361215,379.9892464856757,379.9891997756733,379.98913527912913,379.9890523337825,
723.15,429.9879463595805,429.98791634292087,429.98786838861685,429.98780223995993,429.9877183144486,
773.15,479.98660970969314,479.9865786633699,479.9865293771594,479.9864620766738,479.9863768908521,
