THP,I,V
323.15,0.0,-0.46619407836497967
323.15,0.5,6.181728157990995
323.15,1.0,12.831842989072728
323.15,1.5,19.47929755459263
323.15,2.0,26.127175979532353
373.15,0.0,-1.30836844801801
373.15,0.5,5.375323535362361
373.15,1.0,12.060732426306341
373.15,1.5,18.745133704523965
373.15,2.0,25.43067091354479
423.15,0.0,-2.2621120608856615
423.15,0.5,4.46835509608655
423.15,1.0,11.198692753690608
423.15,1.5,17.93281637054543
423.15,2.0,24.665530421100602
473.15,0.0,-3.322583348966224
473.15,0.5,3.4794370752653987
473.15,1.0,10.283157563569654
473.15,1.5,17.087435857820044
473.15,2.0,23.897748320018675
523.15,0.0,-4.48702119680057
523.15,0.5,2.381378199671695
523.15,1.0,9.252019282227709
523.15,1.5,16.12296189714013
523.15,2.0,22.996362117392085
573.15,0.0,-5.755018732613905
573.15,0.5,1.1470905760606442
573.15,1.0,8.052596399087587
573.15,1.5,14.957303366993198
573.15,2.0,21.864099278625993
623.15,0.0,-7.119416020834848
623.15,0.5,-0.20076981388910758
623.15,1.0,6.719654449352594
623.15,1.5,13.642979881393792
623.15,2.0,20.565618248357975
673.15,0.0,-8.565101646339242
673.15,0.5,-1.6187142334605524
673.15,1.0,5.3294097777478
673.15,1.5,12.280727088857063
673.15,2.0,19.2308153337339
723.15,0.0,-10.071523404772995
723.15,0.5,-3.0742336901186977
723.15,1.0,3.9250536864190964
723.15,1.5,10.924901053363678
723.15,2.0,17.92933341458743
773.15,0.0,-11.613462091162729
773.15,0.5,-4.5443516955392775
773.15,1.0,2.5249244487013534
773.15,1.5,9.597053156312041
773.15,2.0,16.67368364700549
