THP,Max_Power,Seebeck_Coefficient
323.15,7.858771062466893e-06,-1.553991825612055e-05
373.15,6.149757667014038e-05,-1.635471005167341e-05
423.15,0.000182455057164308,-1.7400855840513265e-05
473.15,0.0003892485939820228,-1.845888252426011e-05
523.15,0.0007027334394103007,-1.950891340997449e-05
573.15,0.0011504484503656735,-2.055376031197386e-05
623.15,0.0017567612808233382,-2.1574126564147075e-05
673.15,0.0025323741547277692,-2.2539917514388713e-05
723.15,0.0034742556857836737,-2.3422395669413493e-05
773.15,0.004569349382773647,-2.419500512889447e-05
