THP,I,P
323.15,0.0,0.0
323.15,0.008453906594546626,3.448732608810031
323.15,0.016907813189093252,5.908088611155344
323.15,0.02536171978363988,7.378068007035942
323.15,0.033815626378186504,7.858670796451822
323.15,0.04226953297273313,7.349896979402985
323.15,0.05072343956727976,5.85174655588943
323.15,0.059177346161826384,3.3642195259111594
323.15,0.06763125275637301,-0.11268411053182845
323.15,0.07608515935091964,-4.578964353439536
323.15,0.08453906594546626,-10.034621202811948
323.15,0.09299297254001289,-16.479654658649096
323.15,0.10144687913455952,-23.914064720950954
323.15,0.10990078572910614,-32.33785138971752
323.15,0.11835469232365277,-41.75101466494881
323.15,0.1268085989181994,-52.15355454664484
323.15,0.13526250551274602,-63.54547103480554
323.15,0.14371641210729263,-75.92676412943096
323.15,0.15217031870183928,-89.29743383052116
323.15,0.1606242252963859,-103.65748013807602
323.15,0.16907813189093251,-119.00690305209558
323.15,0.17753203848547916,-135.34570257257994
323.15,0.18598594508002578,-152.67387869952896
323.15,0.1944398516745724,-170.99143143294268
323.15,0.20289375826911904,-190.29836077282116
323.15,0.21134766486366566,-210.5946667191643
323.15,0.21980157145821227,-231.88034927197222
323.15,0.2282554780527589,-254.1554084312448
323.15,0.23670938464730554,-277.4198441969822
323.15,0.24516329124185215,-301.6736565691842
323.15,0.2536171978363988,-326.91684554785104
323.15,0.2620711044309454,-353.1494111329823
323.15,0.27052501102549203,-380.37135332457865
323.15,0.2789789176200387,-408.5826721226396
323.15,0.28743282421458527,-437.78336752716507
323.15,0.2958867308091319,-467.9734395381555
323.15,0.30434063740367856,-499.1528881556107
323.15,0.31279454399822515,-531.3217133795304
323.15,0.3212484505927718,-564.4799152099149
323.15,0.32970235718731844,-598.6274936467643
323.15,0.33815626378186503,-633.7644486900779
323.15,0.3466101703764117,-669.8907803398566
323.15,0.3550640769709583,-707.0064885961001
323.15,0.3635179835655049,-745.111573458808
323.15,0.37197189016005155,-784.2060349279809
323.15,0.3804257967545982,-824.2898730036186
323.15,0.3888797033491448,-865.3630876857206
323.15,0.39733360994369143,-907.4256789742875
323.15,0.4057875165382381,-950.4776468693193
323.15,0.41424142313278467,-994.5189913708156
323.15,0.4226953297273313,-1039.5497124787769
323.15,0.4311492363218779,-1085.5698101932026
323.15,0.43960314291642455,-1132.5792845140932
323.15,0.4480570495109712,-1180.5781354414485
323.15,0.4565109561055178,-1229.5663629752682
323.15,0.46496486270006443,-1279.543967115553
323.15,0.4734187692946111,-1330.5109478623024
323.15,0.48187267588915766,-1382.4673052155163
323.15,0.4903265824837043,-1435.4130391751953
323.15,0.49878048907825095,-1489.348149741339
323.15,0.5072343956727976,-1544.2726369139475
323.15,0.5156883022673442,-1600.1865006930202
323.15,0.5241422088618908,-1657.0897410785576
323.15,0.5325961154564375,-1714.9823580705604
323.15,0.5410500220509841,-1773.8643516690274
323.15,0.5495039286455307,-1833.735721873959
323.15,0.5579578352400774,-1894.596468685356
323.15,0.566411741834624,-1956.4465921032167
323.15,0.5748656484291705,-2019.2860921275426
323.15,0.5833195550237172,-2083.114968758334
323.15,0.5917734616182638,-2147.9332219955895
323.15,0.6002273682128104,-2213.740851839309
323.15,0.6086812748073571,-2280.5378582894946
323.15,0.6171351814019037,-2348.3242413461444
323.15,0.6255890879964503,-2417.100001009258
323.15,0.634042994590997,-2486.865137278838
323.15,0.6424969011855436,-2557.6196501548816
323.15,0.6509508077800902,-2629.3635396373893
323.15,0.6594047143746369,-2702.096805726363
323.15,0.6678586209691835,-2775.8194484218006
323.15,0.6763125275637301,-2850.531467723703
323.15,0.6847664341582768,-2926.2328636320703
323.15,0.6932203407528233,-3002.923636146902
323.15,0.7016742473473699,-3080.6037852681984
323.15,0.7101281539419166,-3159.2733109959613
323.15,0.7185820605364632,-3238.932213330187
323.15,0.7270359671310098,-3319.5804922708776
323.15,0.7354898737255565,-3401.2181478180337
323.15,0.7439437803201031,-3483.8451799716536
323.15,0.7523976869146497,-3567.461588731738
323.15,0.7608515935091964,-3652.0673740982897
323.15,0.769305500103743,-3737.6625360713037
323.15,0.7777594066982896,-3824.247074650783
323.15,0.7862133132928363,-3911.820989836727
323.15,0.7946672198873829,-4000.384281629135
323.15,0.8031211264819295,-4089.936950028008
323.15,0.8115750330764762,-4180.478995033346
323.15,0.8200289396710227,-4272.010416645148
323.15,0.8284828462655693,-4364.531214863416
323.15,0.8369367528601159,-4458.041389688147
373.15,0.0,0.0
373.15,0.008453906594546626,10.565011282283466
373.15,0.016907813189093252,20.13503169240391
373.15,0.02536171978363988,28.710061230361337
373.15,0.033815626378186504,36.290099896155745
373.15,0.04226953297273313,42.875147689787134
373.15,0.05072343956727976,48.46520461125551
373.15,0.059177346161826384,53.06027066056085
373.15,0.06763125275637301,56.6603458377032
373.15,0.07608515935091964,59.265430142682504
373.15,0.08453906594546626,60.8755235754988
373.15,0.09299297254001289,61.49062613615208
373.15,0.10144687913455952,61.11073782464234
373.15,0.10990078572910614,59.73585864096957
373.15,0.11835469232365277,57.36598858513379
373.15,0.1268085989181994,54.00112765713499
373.15,0.13526250551274602,49.64127585697318
373.15,0.14371641210729263,44.286433184648345
373.15,0.15217031870183928,37.93659964016046
373.15,0.1606242252963859,30.59177522350961
373.15,0.16907813189093251,22.251959934695716
373.15,0.17753203848547916,12.917153773718802
373.15,0.18598594508002578,2.587356740578866
373.15,0.1944398516745724,-8.737431164724088
373.15,0.20289375826911904,-21.057209942190067
373.15,0.21134766486366566,-34.371979591819056
373.15,0.21980157145821227,-48.68174011361106
373.15,0.2282554780527589,-63.98649150756604
373.15,0.23670938464730554,-80.28623377368415
373.15,0.24516329124185215,-97.58096691196516
373.15,0.2536171978363988,-115.87069092240932
373.15,0.2620711044309454,-135.15540580501636
373.15,0.27052501102549203,-155.4351115597865
373.15,0.2789789176200387,-176.70980818671973
373.15,0.28743282421458527,-198.97949568581572
373.15,0.2958867308091319,-222.24417405707493
373.15,0.30434063740367856,-246.50384330049727
373.15,0.31279454399822515,-271.75850341608236
373.15,0.3212484505927718,-298.0081544038306
373.15,0.32970235718731844,-325.252796263742
373.15,0.33815626378186503,-353.4924289958161
373.15,0.3466101703764117,-382.7270526000534
373.15,0.3550640769709583,-412.95666707645375
373.15,0.3635179835655049,-444.181272425017
373.15,0.37197189016005155,-476.4008686457434
373.15,0.3804257967545982,-509.6154557386329
373.15,0.3888797033491448,-543.8250337036852
373.15,0.39733360994369143,-579.0296025409007
373.15,0.4057875165382381,-615.229162250279
373.15,0.41424142313278467,-652.4237128318205
373.15,0.4226953297273313,-690.613254285525
373.15,0.4311492363218779,-729.7977866113922
373.15,0.43960314291642455,-769.977309809423
373.15,0.4480570495109712,-811.1518238796165
373.15,0.4565109561055178,-853.3213288219728
373.15,0.46496486270006443,-896.4858246364923
