THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,29.997677297893915,29.997656285629546,29.997622670448834,29.997577193444727,29.99752304210682,
373.15,79.99368436571751,79.99366200473474,79.99362739398867,79.99358255326052,79.99352411154973,
423.15,129.9898242992573,129.9898003129096,129.9897648713718,129.9897169643221,129.9896570931163,
473.15,179.98613938095372,179.98611387668007,179.98607659998794,179.98602778779696,179.98596632133365,
523.15,229.9825829066391,229.9825559002735,229.9825170867137,229.98246673979583,229.98240355694264,
573.15,279.97909031258325,279.9790618699141,279.9790211024894,279.9789684851734,279.9789043230154,
623.15,329.9756239038652,329.975593808255,329.97555128706995,329.9754969621368,329.9754301968837,
673.15,379.9721679606466,379.9721362030031,379.9720919995571,379.9720357286159,379.97196736616877,
723.15,429.96870564241,429.96867227331717,429.96862639775657,429.96856843052404,429.9684983461551,
773.15,479.96522152682047,479.96518667458247,479.9651394714157,479.96507964750026,479.9650079875413,
