THP,Max_Power_S,Max_Power_HC,Max_Power_HH,Max_Power_HM,Seebeck_Coefficient_S,Seebeck_Coefficient_HC,Seebeck_Coefficient_HH,Seebeck_Coefficient_HM
323.15,7.858771062466893e-06,5.613046776457998e-06,3.5448044772662406e-06,4.084451481137461e-06,-1.553991825612055e-05,-1.5540077272210447e-05,-1.5540064856600857e-05,-1.5540266220593493e-05
373.15,6.149757667014038e-05,4.390758370267189e-05,2.7798912323084074e-05,3.2034765547151786e-05,-1.635471005167341e-05,-1.635489573561415e-05,-1.635483342361612e-05,-1.6355103524049652e-05
423.15,0.000182455057164308,0.00013038778505092976,8.247921065786716e-05,9.511499736411993e-05,-1.7400855840513265e-05,-1.7401054612627488e-05,-1.740097411148756e-05,-1.7401387536381883e-05
473.15,0.0003892485939820228,0.0002780670209733685,0.00017609306806111742,0.00020304561099810886,-1.845888252426011e-05,-1.8459125947562103e-05,-1.8458938364755122e-05,-1.8459344836343823e-05
523.15,0.0007027334394103007,0.0005021188631946392,0.0003180444762466098,0.0003665293503706704,-1.950891340997449e-05,-1.9509171794400885e-05,-1.9508930961076597e-05,-1.9509357743738142e-05
573.15,0.0011504484503656735,0.000821920667602036,0.0005202800398812058,0.0005998869585550398,-2.055376031197386e-05,-2.055403350091485e-05,-2.0553728949120447e-05,-2.0554230268228252e-05
623.15,0.0017567612808233382,0.0012550062308674605,0.0007943160584559674,0.0009158355740734483,-2.1574126564147075e-05,-2.1574381980076974e-05,-2.157408986980794e-05,-2.157460228459719e-05
673.15,0.0025323741547277692,0.0018090349828897797,0.0011449363063135436,0.0013201394370384338,-2.2539917514388713e-05,-2.254012660436318e-05,-2.2539827152495683e-05,-2.2540377329059377e-05
723.15,0.0034742556857836737,0.002482206986096096,0.0015713056090460185,0.0018120256489155692,-2.3422395669413493e-05,-2.3422592993802642e-05,-2.3422268279163198e-05,-2.3422804034489403e-05
773.15,0.004569349382773647,0.0032653657529388177,0.002067945379679581,0.0023849277484905116,-2.419500512889447e-05,-2.4195188612811883e-05,-2.419483105982079e-05,-2.419538765505733e-05
