THP,Seebeck_Coefficient_S,Seebeck_Coefficient_HC,Seebeck_Coefficient_HH,Seebeck_Coefficient_HM
323.15,-1.553991825612055e-05,-1.5540077272210447e-05,-1.5540064856600857e-05,-1.5540266220593493e-05
373.15,-1.635471005167341e-05,-1.635489573561415e-05,-1.635483342361612e-05,-1.6355103524049652e-05
423.15,-1.7400855840513265e-05,-1.7401054612627488e-05,-1.740097411148756e-05,-1.7401387536381883e-05
473.15,-1.845888252426011e-05,-1.8459125947562103e-05,-1.8458938364755122e-05,-1.8459344836343823e-05
523.15,-1.950891340997449e-05,-1.9509171794400885e-05,-1.9508930961076597e-05,-1.9509357743738142e-05
573.15,-2.055376031197386e-05,-2.055403350091485e-05,-2.0553728949120447e-05,-2.0554230268228252e-05
623.15,-2.1574126564147075e-05,-2.1574381980076974e-05,-2.157408986980794e-05,-2.157460228459719e-05
673.15,-2.2539917514388713e-05,-2.254012660436318e-05,-2.2539827152495683e-05,-2.2540377329059377e-05
723.15,-2.3422395669413493e-05,-2.3422592993802642e-05,-2.3422268279163198e-05,-2.3422804034489403e-05
773.15,-2.419500512889447e-05,-2.4195188612811883e-05,-2.419483105982079e-05,-2.419538765505733e-05
