THP,delT_S,delT_HC,delT_HH,delT_HM
323.15,29.997677297893915,29.998658387623323,29.99934336889214,29.999105018367914
373.15,79.99368436571751,79.9963511662711,79.99821330570381,79.99756443571857
423.15,129.9898242992573,129.99412016905086,129.99711991319185,129.99607394273357
473.15,179.98613938095372,179.99199056401125,179.99607647818726,179.99465194585508
523.15,229.9825829066391,229.98993619432542,229.9950700334819,229.9932809546616
573.15,279.97909031258325,279.9879200811096,279.99408277143027,279.99193633194517
623.15,329.9756239038652,329.98591868319755,329.9931037485959,329.99060316016255
673.15,379.9721679606466,379.9839242327701,379.99212798546455,379.98927530361215
723.15,429.96870564241,429.981926763911,429.9911515740804,429.9879463595805
773.15,479.96522152682047,479.9799169279718,479.99016986097627,479.98660970969314
