THP,Max_Power,Seebeck_Coefficient
323.15,1.3903253641686868e-07,-1.57252148682875e-05
373.15,1.0911692386677765e-06,-1.7700288050207195e-05
423.15,3.763094315891519e-06,-1.9754599653724277e-05
473.15,8.93545656125542e-06,-2.168091928776647e-05
523.15,1.75907520214704e-05,-2.3581855442500185e-05
573.15,3.126862887678369e-05,-2.547566957119972e-05
623.15,5.070606531910595e-05,-2.7240309755401427e-05
673.15,7.447912140316167e-05,-2.875063388357016e-05
723.15,9.991482494858638e-05,-2.9921627003050263e-05
773.15,0.00012440144743159577,-3.067767348148119e-05
