THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,4.294426127181055,3.9372878140655416,3.2814689332257103,2.3679508434284458,1.1963893951705131,
373.15,11.388557023726833,10.94082732226525,10.213580238354496,9.226159631049882,7.976601054601929,
423.15,19.219051411654675,18.67880335035403,17.83275297329152,16.711400760718675,15.311780541224834,
473.15,27.58132661916312,26.933299705253432,25.950360833563025,24.673570654671778,23.099501516776797,
523.15,36.14594698378335,35.33487966384183,34.25723979646159,32.825626757610735,31.0839515290113,
573.15,44.566046360208816,43.62751338735609,42.37002005394538,40.80258592220764,38.979851294500804,
623.15,52.8126168944309,51.74663410885637,50.36066819638495,48.73156154690287,46.7252080498879,
673.15,60.95320839508827,59.75934442044888,58.316671936511284,56.484892339161206,54.336370522026755,
723.15,68.90189250517255,67.58335198221755,66.01710562110247,63.946382693328246,61.63730486071904,
773.15,76.56610423995846,75.13464445996271,73.3510326308816,71.23087584093298,68.77008129869591,
