THP,I,V
323.15,0.0,-0.12856360792082042
323.15,0.5,7.554111161769535
323.15,1.0,15.24948177224316
323.15,1.5,22.96203287506832
323.15,2.0,30.694642680557454
373.15,0.0,-0.37854426049498624
373.15,0.5,7.386644372862432
373.15,1.0,15.162968989423508
373.15,1.5,22.9529975910453
373.15,2.0,30.758835088960733
423.15,0.0,-0.7027625256604031
423.15,0.5,7.179676776555454
423.15,1.0,15.078343090185669
423.15,1.5,23.000116521725616
423.15,2.0,30.95110294189788
473.15,0.0,-1.0946652367064091
473.15,0.5,6.991914564770524
473.15,1.0,15.098381665503412
473.15,1.5,23.234294886904877
473.15,2.0,31.406800940840515
523.15,0.0,-1.5490266174289093
523.15,0.5,6.691903414544113
523.15,1.0,14.95521333623375
523.15,1.5,23.240689614903786
523.15,2.0,31.554277448497718
573.15,0.0,-2.0570841130883215
573.15,0.5,6.195088333899692
573.15,1.0,14.45979065941686
573.15,1.5,22.73618449146079
573.15,2.0,31.027501593438664
623.15,0.0,-2.6067631739281634
623.15,0.5,5.5787904676082025
623.15,1.0,13.773424567036527
623.15,1.5,21.97528386391978
623.15,2.0,30.181437024481166
673.15,0.0,-3.183116193757352
673.15,0.5,4.9980703686160455
673.15,1.0,13.19594894221514
673.15,1.5,21.413432125400263
673.15,2.0,29.642633295849436
723.15,0.0,-3.7661390707723577
723.15,0.5,4.543303386210118
723.15,1.0,12.880173509712405
723.15,1.5,21.249513043870934
723.15,2.0,29.655172496342924
773.15,0.0,-4.331056274618049
773.15,0.5,4.22024991382381
773.15,1.0,12.81044260100906
773.15,1.5,21.441084166056324
773.15,2.0,30.13659674949012
