THP,I,P
323.15,0.0,0.0
323.15,0.001921728554317172,0.20930103487012966
323.15,0.003843457108634344,0.3199217306820858
323.15,0.005765185662951516,0.3318620874358683
323.15,0.007686914217268688,0.24512210513147734
323.15,0.00960864277158586,0.05970178376891268
323.15,0.011530371325903031,-0.22439887665182506
323.15,0.013452099880220204,-0.607179876130737
323.15,0.015373828434537376,-1.0886412146678222
323.15,0.017295556988854547,-1.6687828922630807
323.15,0.01921728554317172,-2.3476049089165136
323.15,0.021139014097488893,-3.1251072646281193
323.15,0.023060742651806063,-4.001289959397898
323.15,0.024982471206123236,-4.976152993225852
323.15,0.02690419976044041,-6.049696366111978
323.15,0.02882592831475758,-7.221920078056278
323.15,0.03074765686907475,-8.492824129058752
323.15,0.03266938542339192,-9.862408519119397
323.15,0.034591113977709094,-11.330673248238218
323.15,0.03651284253202627,-12.897618316415214
323.15,0.03843457108634344,-14.563243723650384
323.15,0.04035629964066061,-16.327549469943726
323.15,0.042278028194977786,-18.19053555529524
323.15,0.04419975674929495,-20.15220197970492
323.15,0.046121485303612125,-22.212548743172785
323.15,0.0480432138579293,-24.37157584569883
323.15,0.04996494241224647,-26.62928328728303
323.15,0.051886670966563644,-28.98567106792542
323.15,0.05380839952088082,-31.44073918762597
323.15,0.055730128075197984,-33.99448764638469
323.15,0.05765185662951516,-36.6469164442016
323.15,0.05957358518383233,-39.39802558107668
323.15,0.0614953137381495,-42.24781505700993
323.15,0.06341704229246667,-45.19628487200134
323.15,0.06533877084678384,-48.243435026050946
323.15,0.06726049940110101,-51.389265519158705
323.15,0.06918222795541819,-54.63377635132466
323.15,0.07110395650973536,-57.97696752254879
323.15,0.07302568506405253,-61.41883903283107
323.15,0.07494741361836971,-64.95939088217155
323.15,0.07686914217268688,-68.59862307057018
323.15,0.07879087072700405,-72.336535598027
323.15,0.08071259928132123,-76.173128464542
323.15,0.0826343278356384,-80.10840167011516
323.15,0.08455605638995557,-84.14235521474649
323.15,0.08647778494427273,-88.27498909843597
323.15,0.0883995134985899,-92.50630332118365
323.15,0.09032124205290708,-96.83629788298951
323.15,0.09224297060722425,-101.26497278385352
323.15,0.09416469916154142,-105.79232802377574
323.15,0.0960864277158586,-110.41836360275613
323.15,0.09800815627017577,-115.14307952079466
323.15,0.09992988482449294,-119.96647577789139
323.15,0.10185161337881012,-124.88855237404627
323.15,0.10377334193312729,-129.90930930925936
323.15,0.10569507048744446,-135.0287465835306
323.15,0.10761679904176163,-140.24686419686003
323.15,0.10953852759607881,-145.56366214924762
323.15,0.11146025615039597,-150.97914044069333
323.15,0.11338198470471314,-156.4932990711973
323.15,0.11530371325903031,-162.1061380407594
323.15,0.11722544181334749,-167.8176573493797
323.15,0.11914717036766466,-173.62785699705816
323.15,0.12106889892198183,-179.53673698379475
323.15,0.122990627476299,-185.5442973095896
323.15,0.12491235603061618,-191.65053797444256
323.15,0.12683408458493334,-197.85545897835368
323.15,0.12875581313925052,-204.15906032132307
323.15,0.13067754169356768,-210.56134200335052
323.15,0.13259927024788487,-217.06230402443623
323.15,0.13452099880220203,-223.66194638458003
323.15,0.13644272735651922,-230.3602690837821
323.15,0.13836445591083638,-237.15727212204226
323.15,0.14028618446515356,-244.05295549936065
323.15,0.14220791301947072,-251.0473192157372
323.15,0.1441296415737879,-258.1403632711719
323.15,0.14605137012810507,-265.3320876656648
