THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,7.8586939704115935,7.347123662278534,6.369188802791996,4.960250056387338,3.1197725041421904,
373.15,20.746199752441328,20.146565938585525,19.09986039149402,17.62110721097804,15.70648464892622,
423.15,34.73655942292072,34.03921301413294,32.86897900603526,31.248817752697562,29.1725915271615,
473.15,49.55669561855268,48.744873124034314,47.428653700737755,45.638055938776915,43.36557379712218,
523.15,64.79996328823654,63.82591101216531,62.392036754438436,60.42350348503402,57.95068847428291,
573.15,79.96687237243708,78.85612061840072,77.23265911920191,75.10023915526517,72.50029837554507,
623.15,94.8827123807755,93.62541283862504,91.87249753002027,89.59955048195661,86.81272627385806,
673.15,109.59840979665103,108.20435732220392,106.31632873384899,103.90667761463715,101.04207357597079,
723.15,124.08986914061711,122.55932077001796,120.53093115930756,118.0428331608963,114.96261109457146,
773.15,138.25399298371462,136.5892846475639,134.49603366928716,131.77933190269846,128.52373811083112,
