THP,Max_Power,Seebeck_Coefficient
323.15,6.812012313959519e-08,-1.5769674046649873e-05
373.15,5.54651469993357e-07,-1.7819039412715892e-05
423.15,1.931375802581619e-06,-1.9934498838009822e-05
473.15,4.630768222597891e-06,-2.192353453518292e-05
523.15,9.232388652858647e-06,-2.389799050467663e-05
573.15,1.6557648108781707e-05,-2.5852158642308507e-05
623.15,2.672155479045998e-05,-2.764083561043138e-05
673.15,3.873017295477697e-05,-2.91333362197949e-05
723.15,5.115853088601649e-05,-3.024299764419112e-05
773.15,6.285548695428178e-05,-3.08865199262272e-05
