THP,delT_at_I0=0.0A,delT_at_I0=0.5A,delT_at_I0=1.0A,delT_at_I0=1.5A,delT_at_I0=2.0A,
323.15,2.5727896145007207,2.344804872720772,1.934653878889776,1.3860718339072378,0.698869306731126,
373.15,6.841547581006978,6.53449189936714,6.0654502929186265,5.456173760977151,4.705896598848369,
423.15,11.590484699157116,11.212743247888284,10.650839281122387,9.939441665061906,9.07743073260184,
473.15,16.68046078009371,16.21985157096981,15.551765861420677,14.723348675259103,13.733333414827655,
523.15,21.871816500718808,21.27044297122677,20.544767984194152,19.600668867843297,18.48861538850673,
573.15,26.948553060092536,26.24575523630108,25.363991067787538,24.314757797976426,23.159918671426112,
623.15,31.920293671748254,31.115614180222224,30.203376373945616,29.05062275628825,27.729294569624926,
673.15,36.82215736768205,35.915980082774354,34.908664379265815,33.6455310866495,32.209659815609484,
723.15,41.57283548321573,40.668415293541216,39.37408673843504,37.99844934093983,36.44292952665592,
773.15,46.12796094034309,45.154438671172215,43.757046543446904,42.28434899060903,40.625423243674504,
