THP,delT_S,delT_HC,delT_HH,delT_HM
323.15,2.5727896145007207,4.294426127181055,8.215865860556278,7.8586939704115935
373.15,6.841547581006978,11.388557023726833,21.68250933329182,20.746199752441328
423.15,11.590484699157116,19.219051411654675,36.27183237042766,34.73655942292072
473.15,16.68046078009371,27.58132661916312,51.71001770885721,49.55669561855268
523.15,21.871816500718808,36.14594698378335,67.5883404862879,64.79996328823654
573.15,26.948553060092536,44.566046360208816,83.40424284860063,79.96687237243708
623.15,31.920293671748254,52.8126168944309,98.96948808460024,94.8827123807755
673.15,36.82215736768205,60.95320839508827,114.32783509442879,109.59840979665103
723.15,41.57283548321573,68.90189250517255,129.45776906129106,124.08986914061711
773.15,46.12796094034309,76.56610423995846,144.26317193750504,138.25399298371462
